area|evidence|proof|purpose
Domain/algebra|crates/hq-reducer/tests/causal_laws.rs|test:law_merge_set_union_is_a_semilattice|Law 1 merge is set union and a join semilattice
Domain/algebra|crates/hq-reducer/tests/causal_laws.rs|test:law_input_invariance_covers_permutations_and_duplicates|Law 2 input order batching and duplicate invariance
Domain/algebra|crates/hq-store/tests/incremental_query_contract.rs|test:late_parent_affected_closure_and_incremental_state_equal_batch_and_repair|Law 3 incremental reduction equals batch reduction and repair
Domain/algebra|crates/hq-reducer/tests/causal_laws.rs|test:law_causal_dominance_excludes_an_unusable_bridge|Law 4 causal reachability alone determines dominance
Domain/algebra|crates/hq-reducer/tests/causal_laws.rs|test:generated_dags_have_exact_frontiers_and_parent_first_order|Law 5 generated DAGs have every and only maximal frontier members
Domain/algebra|crates/hq-reducer/tests/causal_laws.rs|test:law_deferred_readiness_separates_missing_and_unusable_parents|Law 6 missing and unusable dependencies defer reduction
Domain/algebra|crates/hq-testkit/tests/authority_reduction.rs|test:account_actions_use_historical_membership_and_full_regrant_lineage|Law 7 authority is explicit historical and causal
Domain/algebra|crates/hq-testkit/tests/agent_reduction.rs|test:retirement_is_absorbing_remove_wins_and_preserves_historical_sessions|Law 8 immutable facts permit retractable projections
Domain/algebra|crates/hq-reducer/tests/causal_laws.rs|test:report_normalizes_every_domain_decision_and_conflict|Law 9 conflicts produce explicit deterministic domain decisions
Domain/algebra|crates/hq-testkit/tests/project_reduction.rs|test:cross_project_path_conflicts_fail_closed_but_local_overlap_and_home_namespaces_do_not|Reviewed project resource conflict rules
Domain/algebra|crates/hq-testkit/tests/agent_reduction.rs|test:every_named_agent_scenario_is_mapped|Reviewed agent conflict scenario inventory
Canonical protocol|crates/hq-protocol/tests/dto_vectors.rs|test:every_normative_family_body_has_one_executable_exact_dto|Exact canonical v1 DTO vectors
Canonical protocol|crates/hq-protocol/tests/event_adversarial.rs|test:raw_and_decoded_limits_are_inclusive_and_checked_before_unbounded_work|Strict signature syntax and size boundaries
Canonical protocol|scripts/verify-rust-protocol-fuzz.sh|command|Pinned adversarial signed-event and DTO fuzz boundaries
Authorization|crates/hq-testkit/tests/authority_reduction.rs|test:observed_pre_revoke_action_survives_while_concurrent_action_retracts|Capability observation and revoke race matrix
Authorization|crates/hq-testkit/tests/authority_reduction.rs|test:old_grant_fails_after_revoke_and_only_full_frontier_regrant_restores_access|Full-frontier revoke and regrant authority
Authorization|crates/hq-testkit/tests/authority_reduction.rs|test:account_device_requires_exact_acceptance_and_remove_wins_revocation|Account grant accept and remove-wins revoke races
Authorization|crates/hq-testkit/tests/authority_reduction.rs|test:peer_route_block_is_remove_wins_and_full_frontier_restore_is_routable|Peer route revoke and full-frontier restore races
Persistence|crates/hq-store/src/database.rs|test:atomic_ingest_failpoints_reopen_to_the_complete_old_or_new_state|Atomic ingest failpoints and reopen
Persistence|crates/hq-store/src/database.rs|test:local_mutation_failpoints_reopen_to_the_complete_old_or_new_state|Atomic local mutation failpoints and reopen
Persistence|crates/hq-store/tests/repair_contract.rs|test:changed_rebuildable_rows_fail_closed_until_repair|Corruption fail-closed and complete repair equality
Queries|crates/hq-store/tests/incremental_query_contract.rs|test:thousand_entry_later_pages_use_the_covering_conversation_index|Stable cursors canonical order and indexed later pages
Queries|crates/hq-store/tests/incremental_query_contract.rs|test:cursor_pages_are_bound_to_the_conversation_and_concatenate_to_reducer_order|Stable cursor pages concatenate to reducer order
Queries|crates/hq-store/tests/incremental_query_contract.rs|test:equal_time_mixed_pages_concatenate_to_local_reducer_order_after_repair_and_reopen|Canonical equal-time ordering survives repair and reopen
